Country Name,GDP per capita in 2014,Female Graduates from tertiary education
Afghanistan,612.0696514,18.3055706
Albania,4578.666728,65.7736969
Algeria,5466.425778,63.26968002
Andorra,42294.99473,63.88888931
Argentina,12245.25645,64.86356354
Australia,62214.60912,57.96089172
Austria,51733.48192,55.45479965
Azerbaijan,7891.299776,52.45771027
Bahrain,24983.37902,60.77569962
Bangladesh,1084.56543,41.89030838
Belarus,8318.51269,58.46709824
Belgium,47379.17392,59.80809021
Bosnia and Herzegovina,5204.243718,60.05241013
Brazil,12026.61731,60.63394928
Brunei Darussalam,41530.66898,62.19224167
Bulgaria,7853.335191,59.98295975
Chile,14817.37778,55.67198944
China,7683.502613,51.12751007
Colombia,7913.383242,55.74168015
Costa Rica,10647.44179,63.22047043
Croatia,13467.46827,59.75675964
Cuba,7050.50199,63.60536957
Cyprus,27340.88382,62.93959045
Czech Republic,19744.55861,60.13031006
Denmark,62548.98502,58.30936813
Dominican Republic,6268.692122,63.01924133
Ecuador,6396.630483,58.6074295
El Salvador,3988.771871,56.38056946
Estonia,19949.58138,66.38861847
Ethiopia,571.1622759,33.5200386
Finland,49914.61864,60.40869904
France,42955.24287,55.883461
Georgia,4429.650075,62.25009918
Ghana,1432.227943,39.26522827
Greece,21760.9798,57.77745056
Guinea,744.6823178,33.00870132
Honduras,2242.707459,64.83586121
Hungary,14201.44883,62.58332062
India,1573.118089,50.21543121
Indonesia,3491.595887,52.14476013
"Iran, Islamic Rep.",5540.984136,45.07881927
Ireland,55899.16348,52.2946701
Italy,35396.66572,59.68136978
Japan,38096.21151,48.94894028
Kazakhstan,12806.56511,55.77257919
"Korea, Rep.",27811.36638,51.27013016
Lao PDR,2017.587781,46.98582077
Latvia,15758.52974,65.17727661
Lesotho,1218.466106,62.98712921
Liechtenstein,179308.0756,32.84133148
Lithuania,16554.97139,63.03049088
Luxembourg,119225.38,54.89984131
"Macao SAR, China",94004.38983,59.91464996
"Macedonia, FYR",5469.217898,56.07110977
Madagascar,452.4631926,45.59455109
Malaysia,11183.72943,59.05604172
Maldives,9220.328165,57.70700836
Malta,26248.77189,54.79103088
Mexico,10452.78353,52.65282822
Moldova,2244.763762,58.91930008
Mongolia,4181.583313,63.99409103
Morocco,3154.513484,48.71805954
Mozambique,623.2871141,43.01377869
Namibia,5392.712419,65.59729767
Netherlands,52157.40687,56.60649872
New Zealand,44503.24673,58.24908829
Norway,97199.9191,58.56060028
Oman,20458.45227,55.19445038
Philippines,2842.938353,57.51988983
Poland,14339.67455,66.03056335
Portugal,22077.53613,59.34939957
Qatar,86852.71019,62.82600021
Romania,10020.27733,58.65354919
Rwanda,706.5699517,45.33935165
Saudi Arabia,24575.40304,49.54616165
Serbia,6200.173221,57.83787918
Seychelles,15570.77892,77.2845993
Slovak Republic,18629.77966,63.18246078
Slovenia,24202.43084,59.85327911
South Africa,6484.584983,60.41756821
Spain,29623.16445,56.09164047
Sri Lanka,3820.540994,60.30218887
St. Lucia,8796.69108,64.25061035
Sudan,2176.898029,55.28488159
Switzerland,86605.56338,48.25772858
Tajikistan,1104.459019,38.03359985
Thailand,5941.84071,54.3609581
Tunisia,4270.307423,65.50541687
Turkey,12127.22567,49.23960114
Ukraine,3104.658296,54.2988205
United Arab Emirates,44449.74035,51.52172852
United Kingdom,46783.46922,57.11777878
United States,54598.55069,58.4307518
Uzbekistan,2050.448414,33.48188019
Vietnam,2052.319084,49.72742081
West Bank and Gaza,2960.778004,60.41249084
